Concurso,Data,Prêmio1,Prêmio2,Prêmio3,Prêmio4,Prêmio5
560,27/04/1968,6096,3787,260,4093,4766
561,04/05/1968,5640,3283,5825,6869,5957
562,08/05/1968,8550,6025,1597,2514,8766
563,11/05/1968,54,5988,8027,2519,9920
564,15/05/1968,7968,9814,4624,578,4774
565,18/05/1968,3424,2103,1245,4539,4389
566,22/05/1968,2881,2843,6944,1956,3903
567,25/05/1968,6784,2278,3141,71,2633
568,29/05/1968,499,1032,4507,8035,9113
569,01/06/1968,9473,8183,7981,522,4917
570,05/06/1968,2816,9545,3427,4332,1499
571,08/06/1968,1850,6887,7684,5152,331
572,12/06/1968,3672,2799,1683,6703,1129
573,15/06/1968,4504,817,2412,5385,8004
574,19/06/1968,6312,7174,842,7389,8950
575,22/06/1968,3430,2366,7325,2390,7378
576,26/06/1968,9519,8049,4860,121,8302
577,29/06/1968,4820,8782,7340,8338,5578
578,03/07/1968,4261,9131,9604,6982,6665
579,06/07/1968,2650,4542,1556,7807,5318
580,10/07/1968,4117,3905,6573,551,3644
581,13/07/1968,3888,9339,8160,6373,6866
582,17/07/1968,4645,8605,3481,4268,4188
583,20/07/1968,7320,3333,2734,2671,8928
584,24/07/1968,7069,9541,2375,4603,8557
585,27/07/1968,2559,2703,9157,4327,2699
586,31/07/1968,5292,3141,4586,3151,9128
587,03/08/1968,5486,1254,8379,3275,5451
